Dig1,Down1,Up1,Dig2,Down2,Up2,Dig3,Down3,Up3,Dig4,Down4,Up4,Dig5,Down5,Up5,Dig6,Down6,Up6,MeansOfAll,MeansOfDowns,MeansOfUps,MeansOfPress,Tag
1,0,830,6,1293,1379,0,2161,2233,7,2629,2695,3,3135,3210,0,3824,3899,2274,2173.666667,2374.333333,200.6666667,Authorize
1,0,951,6,1447,1574,0,2203,2254,7,2629,2704,3,3090,3175,0,3805,3876,2309,2195.666667,2422.333333,226.6666667,Authorize
1,0,924,6,1499,1647,0,3156,3204,7,3622,3674,3,3995,4059,0,4950,5014,2978.666667,2870.333333,3087,216.6666667,Authorize
1,0,974,6,1833,1985,0,2602,2673,7,3103,3176,3,3596,3693,0,4331,4415,2698.416667,2577.5,2819.333333,241.8333333,Authorize
1,0,1212,6,2421,2594,0,3060,3142,7,3561,3658,3,3999,4084,0,4689,4787,3100.583333,2955,3246.166667,291.1666667,Authorize
1,0,797,6,1302,1488,0,2072,2133,7,2597,2660,3,3078,3164,0,3737,3810,2236.5,2131,2342,211,Authorize
1,0,967,6,1418,1625,0,2208,2304,7,2655,2732,3,3139,3224,0,3754,3838,2322,2195.666667,2448.333333,252.6666667,Authorize
1,0,1037,6,1488,1705,0,2255,2341,7,2705,2768,3,3155,3239,0,3812,3876,2365.083333,2235.833333,2494.333333,258.5,Authorize
1,0,1059,6,1643,1771,0,2267,2341,7,2770,2834,3,3231,3316,0,3944,4018,2432.833333,2309.166667,2556.5,247.3333333,Authorize
1,0,1087,6,1523,1674,0,2291,2376,7,2810,2882,3,3287,3351,0,4285,4350,2493,2366,2620,254,Authorize
